title,link,cited,relatedLink,position,publishedData
A low-cost open hardware system for collecting traffic data using wi-fi signal strength,https://www.mdpi.com/1424-8220/18/11/3623,Cited by 10,"https://scholar.google.com/scholar?q=related:QvLfu7PNAz8J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",29,"S Gupta, A Hamzin, A Degbelo - Sensors, 2018 - mdpi.com"
"Development of a robotic pourer constructed with ubiquitous materials, open hardware and sensors to assess beer foam quality using computer vision and pattern …",https://www.sciencedirect.com/science/article/pii/S096399691630388X,Cited by 35,"https://scholar.google.com/scholar?q=related:hgKxRPEvgREJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",30,"CG Viejo, S Fuentes, GJ Li, R Collmann… - Food Research …, 2016 - Elsevier"
"Self-directed learning in the age of open source, open hardware and 3D printing",https://www.igi-global.com/chapter/self-directed-learning-in-the-age-of-open-source-open-hardware-and-3d-printing/212780,Cited by 12,"https://scholar.google.com/scholar?q=related:aSH8zAISLqwJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",31,"JI Novak - Ubiquitous inclusive learning in a digital era, 2019 - igi-global.com"
[D81] Hapkit: An open-hardware haptic device for online education,https://ieeexplore.ieee.org/abstract/document/6775560/,Cited by 18,"https://scholar.google.com/scholar?q=related:JIh2o3A_dxIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",32,"TK Morimoto, P Blikstein… - 2014 IEEE Haptics …, 2014 - ieeexplore.ieee.org"
Openspritzer: an open hardware pressure ejection system for reliably delivering picolitre volumes,https://www.nature.com/articles/s41598-017-02301-2,Cited by 14,"https://scholar.google.com/scholar?q=related:gHQytCdEk14J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",33,"CJ Forman, H Tomes, B Mbobo, RJ Burman… - Scientific reports, 2017 - nature.com"
"Electromyography-controlled car: A proof of concept based on surface electromyography, Extreme Learning Machines and low-cost open hardware",https://www.sciencedirect.com/science/article/pii/S0045790618304075,Cited by 13,"https://scholar.google.com/scholar?q=related:bVZ_sHR2bYIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",34,"RC de Freitas, R Alves, AG da Silva Filho… - Computers & Electrical …, 2019 - Elsevier"
Irrig‐OH: an open‐hardware device for soil water potential monitoring and irrigation management,https://onlinelibrary.wiley.com/doi/abs/10.1002/ird.1989,Cited by 19,"https://scholar.google.com/scholar?q=related:1YIAAuaP0foJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",35,"D Masseroni, A Facchi, EV Depoli… - Irrigation and …, 2016 - Wiley Online Library"
openEyes: an open-hardware open-source system for low-cost eye tracking,https://www.tandfonline.com/doi/abs/10.1080/09500340600619072,Cited by 19,"https://scholar.google.com/scholar?q=related:hlWZIrGWFdQJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",36,"D Li, DJ Parkhurst - Journal of Modern Optics, 2006 - Taylor & Francis"
Emerging business models for open source hardware,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3331121,Cited by 58,"https://scholar.google.com/scholar?q=related:zP5PJsKXdCMJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",37,"JM Pearce - Journal of Open Hardware, 2017 - papers.ssrn.com"
Design of an open hardware architecture for the humanoid robot ARMAR,https://www.researchgate.net/profile/Ruediger_Dillmann/publication/228872320_Design_of_an_open_hardware_architecture_for_the_humanoid_robot_ARMAR/links/0c96051b8d829b4f99000000.pdf,Cited by 20,"https://scholar.google.com/scholar?q=related:a6rMgkoW0sQJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",38,"K Regenstein, R Dillmann - … , October 1-3, 2003, Karlsruhe and …, 2003 - researchgate.net"
A RISC-V based open hardware platform for always-on wearable smart sensing,https://ieeexplore.ieee.org/abstract/document/8791364/,Cited by 7,"https://scholar.google.com/scholar?q=related:U_rnmJzl88sJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",39,"M Eggimann, S Mach, M Magno… - 2019 IEEE 8th …, 2019 - ieeexplore.ieee.org"
Free software to open hardware: Critical theory on the frontiers of hacking,https://gupea.ub.gu.se/handle/2077/24450,Cited by 17,"https://scholar.google.com/scholar?q=related:450KzBEwxwkJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",40,J Söderberg - 2011 - gupea.ub.gu.se
